event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,arpdau,matches_started,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-23,Egypt,ios,579,36.57,6.73,0.07,2892,4.99,0.6011,0.3989,0.05
2024-02-23,Mongolia,ios,274,14.99,3.7,0.07,891,3.25,0.6832,0.3168,0.04
2024-02-23,Colombia,ios,151,9.75,1.31,0.07,690,4.57,0.6745,0.3255,0.03
2024-02-23,Belarus,ios,354,25.9,2.92,0.08,1878,5.31,0.6514,0.3486,0.06
2024-02-23,Jamaica,ios,27,1.47,0.76,0.08,156,5.78,0.6484,0.3516,0.11
2024-02-23,Russia,ios,4833,221.7,208.74,0.09,22080,4.57,0.6314,0.3686,0.03
2024-02-23,Ireland,ios,151,11.85,2.76,0.1,604,4.0,0.6197,0.3803,0.05
2024-02-23,Peru,ios,364,35.24,3.71,0.11,1931,5.3,0.6271,0.3729,0.04
2024-02-23,Chile,ios,282,32.56,3.74,0.13,1390,4.93,0.6557,0.3443,0.04
2024-02-23,Croatia,ios,97,11.9,1.36,0.14,418,4.31,0.6535,0.3465,0.01
2024-02-23,Brazil,ios,4917,629.13,90.72,0.15,23490,4.78,0.6062,0.3938,0.04
2024-02-23,Antigua & Barbuda,ios,1,0.0,0.16,0.16,13,13.0,0.9231,0.0769,0.0
2024-02-23,Andorra,ios,1,0.0,0.16,0.16,0,0.0,,,0.0
2024-02-23,Indonesia,ios,1162,177.27,24.73,0.17,7081,6.09,0.6011,0.3989,0.03
2024-02-23,Finland,ios,114,17.27,2.19,0.17,637,5.59,0.6007,0.3993,0.03
2024-02-23,Türkiye,ios,6092,973.56,102.99,0.18,35947,5.9,0.6043,0.3957,0.03
2024-02-23,Israel,ios,1280,209.44,15.47,0.18,5162,4.03,0.6121,0.3879,0.04
2024-02-23,Netherlands,ios,778,121.11,18.15,0.18,3821,4.91,0.618,0.382,0.02
2024-02-23,Philippines,ios,712,123.82,12.3,0.19,3796,5.33,0.6465,0.3535,0.05
2024-02-23,Mexico,ios,454,78.46,5.83,0.19,1930,4.25,0.6427,0.3573,0.06
2024-02-23,Ukraine,ios,2491,462.21,33.08,0.2,15341,6.16,0.5972,0.4028,0.03
2024-02-23,Romania,ios,1227,242.48,26.83,0.22,6380,5.2,0.5934,0.4066,0.04
2024-02-23,Sweden,ios,938,189.53,18.96,0.22,4379,4.67,0.6027,0.3973,0.03
2024-02-23,Morocco,ios,62,12.98,0.59,0.22,258,4.16,0.5722,0.4278,0.05
2024-02-23,Spain,ios,905,188.87,22.65,0.23,5279,5.83,0.5871,0.4129,0.06
2024-02-23,France,ios,1736,361.78,50.13,0.24,9302,5.36,0.6154,0.3846,0.04
2024-02-23,Bulgaria,ios,370,81.99,6.47,0.24,2191,5.92,0.6266,0.3734,0.06
2024-02-23,Italy,ios,1001,255.17,19.04,0.27,5335,5.33,0.585,0.415,0.04
2024-02-23,Saudi Arabia,ios,1896,485.19,37.2,0.28,6491,3.42,0.6111,0.3889,0.03
2024-02-23,Malaysia,ios,1577,413.79,32.17,0.28,8916,5.65,0.6174,0.3826,0.04
2024-02-23,South Africa,ios,105,28.04,1.72,0.28,521,4.96,0.5738,0.4262,0.08
2024-02-23,Thailand,ios,1831,479.61,44.13,0.29,9720,5.31,0.6254,0.3746,0.04
2024-02-23,Taiwan,ios,1088,245.17,65.45,0.29,6846,6.29,0.6545,0.3455,0.06
2024-02-23,Japan,ios,685,167.11,31.39,0.29,3504,5.12,0.5924,0.4076,0.02
2024-02-23,Portugal,ios,343,90.97,8.63,0.29,1855,5.41,0.6271,0.3729,0.05
2024-02-23,Slovakia,ios,333,91.87,5.24,0.29,2362,7.09,0.5679,0.4321,0.04
2024-02-23,Jordan,ios,313,90.96,4.32,0.3,1637,5.23,0.5906,0.4094,0.03
2024-02-23,Norway,ios,267,75.75,7.4,0.31,1246,4.67,0.5674,0.4326,0.04
2024-02-23,Czechia,ios,501,149.76,7.59,0.31,2420,4.83,0.6174,0.3826,0.02
2024-02-23,Australia,ios,856,225.95,39.9,0.31,3657,4.27,0.6157,0.3843,0.03
2024-02-23,Belgium,ios,648,186.1,19.87,0.32,3345,5.16,0.6017,0.3983,0.04
2024-02-23,Argentina,ios,417,131.25,4.58,0.33,1821,4.37,0.5831,0.4169,0.02
2024-02-23,Luxembourg,ios,34,10.75,0.69,0.34,156,4.59,0.6331,0.3669,0.06
2024-02-23,Latvia,ios,119,38.98,2.86,0.35,628,5.28,0.5358,0.4642,0.04
2024-02-23,Germany,ios,2631,867.31,102.29,0.37,14167,5.38,0.6162,0.3838,0.04
2024-02-23,Kuwait,ios,542,195.77,8.96,0.38,1513,2.79,0.6214,0.3786,0.04
2024-02-23,Greece,ios,321,117.97,4.56,0.38,1664,5.18,0.5524,0.4476,0.04
2024-02-23,Hong Kong,ios,243,79.82,14.89,0.39,1096,4.51,0.6569,0.3431,0.04
2024-02-23,Hungary,ios,400,148.19,6.47,0.39,2066,5.17,0.6233,0.3767,0.03
2024-02-23,Switzerland,ios,531,196.2,20.25,0.41,3002,5.65,0.5934,0.4066,0.03
2024-02-23,Austria,ios,370,152.6,14.59,0.45,1806,4.88,0.6402,0.3598,0.04
2024-02-23,United Kingdom,ios,3192,1420.03,112.78,0.48,15739,4.93,0.6331,0.3669,0.03
2024-02-23,Canada,ios,983,474.22,34.39,0.52,4779,4.86,0.6223,0.3777,0.04
2024-02-23,United States,ios,9979,4869.19,438.68,0.53,44753,4.48,0.6401,0.3599,0.04
2024-02-23,Poland,ios,944,483.69,21.05,0.53,4967,5.26,0.6017,0.3983,0.04
2024-02-23,Uruguay,ios,77,44.98,1.22,0.6,350,4.55,0.5972,0.4028,0.06
2024-02-23,Lithuania,ios,231,134.15,7.13,0.61,1441,6.24,0.622,0.378,0.04
2024-02-23,Puerto Rico,ios,13,7.97,0.19,0.63,86,6.62,0.3243,0.6757,0.15
